tau_center,0.0500,0.0700,0.0900,0.1100,0.1300,0.1500,0.1700,0.1900,0.2100,0.2300,0.2500,0.2700,0.2900
0.0500,3.194466e-02,1.788767e-02,1.155805e-02,7.775381e-03,5.785185e-03,4.285327e-03,3.299668e-03,2.615274e-03,2.041631e-03,1.582727e-03,1.227322e-03,9.638344e-04,6.626527e-04
0.0700,1.788767e-02,1.112383e-02,6.894336e-03,4.363435e-03,3.179706e-03,2.342087e-03,1.810342e-03,1.443543e-03,1.126804e-03,8.741927e-04,6.819374e-04,5.392968e-04,3.732550e-04
0.0900,1.155805e-02,6.894336e-03,4.580937e-03,2.978227e-03,2.113751e-03,1.616886e-03,1.228156e-03,9.523039e-04,7.791957e-04,6.031070e-04,4.637504e-04,3.478105e-04,2.822821e-04
0.1100,7.775381e-03,4.363435e-03,2.978227e-03,2.254613e-03,1.532595e-03,1.215859e-03,9.070092e-04,6.840921e-04,5.858312e-04,4.525745e-04,3.435215e-04,2.443273e-04,2.291846e-04
0.1300,5.785185e-03,3.179706e-03,2.113751e-03,1.532595e-03,1.338235e-03,8.608857e-04,6.904277e-04,5.856629e-04,4.088860e-04,3.190020e-04,2.601845e-04,2.338598e-04,1.113966e-04
0.1500,4.285327e-03,2.342087e-03,1.616886e-03,1.215859e-03,8.608857e-04,7.548595e-04,5.194920e-04,3.872988e-04,3.346537e-04,2.582642e-04,1.953905e-04,1.375036e-04,1.343065e-04
0.1700,3.299668e-03,1.810342e-03,1.228156e-03,9.070092e-04,6.904277e-04,5.194920e-04,4.521100e-04,3.212542e-04,2.518664e-04,1.946072e-04,1.520511e-04,1.204506e-04,8.794613e-05
0.1900,2.615274e-03,1.443543e-03,9.523039e-04,6.840921e-04,5.856629e-04,3.872988e-04,3.212542e-04,3.127836e-04,1.917621e-04,1.491857e-04,1.227432e-04,1.140277e-04,4.919939e-05
0.2100,2.041631e-03,1.126804e-03,7.791957e-04,5.858312e-04,4.088860e-04,3.346537e-04,2.518664e-04,1.917621e-04,1.968804e-04,1.324727e-04,9.988644e-05,6.953284e-05,6.926417e-05
0.2300,1.582727e-03,8.741927e-04,6.031070e-04,4.525745e-04,3.190020e-04,2.582642e-04,1.946072e-04,1.491857e-04,1.324727e-04,1.263953e-04,8.009959e-05,5.660526e-05,5.380756e-05
0.2500,1.227322e-03,6.819374e-04,4.637504e-04,3.435215e-04,2.601845e-04,1.953905e-04,1.520511e-04,1.227432e-04,9.988644e-05,8.009959e-05,7.951873e-05,5.057030e-05,3.728877e-05
0.2700,9.638344e-04,5.392968e-04,3.478105e-04,2.443273e-04,2.338598e-04,1.375036e-04,1.204506e-04,1.140277e-04,6.953284e-05,5.660526e-05,5.057030e-05,6.340472e-05,1.470288e-05
0.2900,6.626527e-04,3.732550e-04,2.822821e-04,2.291846e-04,1.113966e-04,1.343065e-04,8.794613e-05,4.919939e-05,6.926417e-05,5.380756e-05,3.728877e-05,1.470288e-05,5.365907e-05
